Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Steam Jet,2,Transmutation,"Damage, Fire",Cone 20 ft,Action,No,No,Instantaneous,Self,"V, S",No,,New,No,Ocean,"Yes,Tides",Tomorrow,No,Oceanic,"Ashen Wolf,Cosmic Machine,Dagon,Storm Lord",Yes,No,Cook,No,Nereid,"A 20 ft cone of superheated steam emanates from your hand. Each creature in the cone must make a Dexterity saving throw, suffering 4d6 fire damage on a failure and half that on a success. This fire damage is not reduced due to being underwater. In addition, fires of up to 5 feet diameter are extinguished.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd."
Steel Butterflies,3,Conjuration,"Damage, Slashing",Cone 30 ft,Action,No,No,Instantaneous,Self,"V, S",Yes,,"Book of Lost Spells,2018-01-07",No,No,No,Tomorrow,Fey hunter,"Autumnal,Relicker,Wild","Cosmic Machine,Dispater,Eternal Citadel,Hive",Yes,No,Smith,No,No,"You conjure numerous steel butterflies, which you release in a 30 ft cone. Each creature in the cone takes 10d4 slashing damage, or half damage with a successful Dexterity saving throw. Fey creatures have disadvantage on the saving throw, and are also stunned until the end of your next turn if their saving throw fails.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 4th level or higher, the damage increases by 2d4 for each slot level above 3rd."
Steel Wind Strike,5,Conjuration,"Attack, Weapon, Force",Up to 5 creatures,Action,No,No,Instantaneous,30 ft,"S, M (a melee weapon worth at least 1 sp)",No,,Xanathar,"Dance,Valor","Time,War",No,No,Yes,"Relicker,Storm,Time thief","Cosmic Machine,Levistus",Yes,No,Smith,Lycanthropic,No,"You flourish the weapon used in the casting and then vanish to strike like the wind. Choose up to five creatures you can see within range. Make a melee spell attack against each target. On a hit, a target takes 6d10 force damage.<br>You can then teleport to an unoccupied space you can see within 5 feet of one of the targets you hit or missed. "
Stinging Swarm,2,Conjuration,"Attack, Necrotic",In range,Action,Yes,No,1 minute,60 ft,"V, S, M (a living or dead insect)",Yes,,"New,2020-06-21",Pied piper,No,Swarm,No,No,Blighted,"Ancient Toad,Hive",Yes,No,No,Demonic,N,"You create a swarm of magical stinging insects within range that lasts for the duration. The swarm covers a 5 ft diameter area, which becomes lightly concealed. When you cast the spell, you can force a creature within the swarm to make a Constitution save. On a failed save, the target takes necrotic damage equal to 1d8 + your spellcasting ability modifier and becomes poisoned until the end of its next turn. A successful save negates the damage and poisoned condition.<br>&nbsp; As a bonus action on your turn, you can move the swarm up to 20 feet and repeat the attack against a creature within it.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for every two slot levels above the 2nd."
Stone Gauntlets,0,Transmutation,"Attack, Earth",Self,Action,No,No,Instantaneous,Self,"V, M (a bit of stone, clay, dirt, or mud)",Yes,,"New,2020-02-09",No,Strength,No,No,No,Stone,Eternal Citadel,Yes,No,Smith,No,Oread,"You summon elemental earth, crystal or metal which wraps itself around your fists. Make a melee spell attack against the target. On a hit, the target takes 1d10 bludgeoning damage. The spell draws more energy and mass to your fists when you reach higher levels, increasing the damage by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10)."
Stone Shape,1,Transmutation,"Utility, Earth",One stone object,Action,No,No,Instantaneous,Touch,"V, S, M (soft clay)",Yes,,"New,2020-06-14",No,"Agriculture,Dwarven rune","Yes,Land - Mountain,Land - Underdark",No,No,"Oozemaster,Stone",Eternal Citadel,Yes,No,Smith,No,Oread,"You touch a stone object of Tiny size or smaller (no more than 2 inches in any dimension) and form it into a simple shape that suits your purpose. So, for example, you could shape a pebble into an arrowhead or a needle.<p><b>Versatile casting:</b><br>&nbsp; ♦ By casting the spell as a 2nd level spell, you can affect a larger stone allowing you to shape a Small stone object  (no more than 1 ft in any dimension), for instance into a dagger or small hammer.<br>&nbsp; ♦ By casting the spell as a 3rd level spell, you can shape a Medium stone object (no more than 5 ft in any dimension). This level also allows for some more detail. The object you create can have up to two hinges and a latch, but finer mechanical detail isn’t possible. but you could create a simple idol, or a coffer. <br>&nbsp; ♦ By casting the spell as a 4th level spell, you can shape a section of a larger stone object, no more than 5 feet in any dimension. So, for example, you could make a small passage through a wall, as long as the wall is less than 5 feet thick, or shape a stone door or its frame to seal the door shut.<br>&nbsp; ♦ By casting the spell as a 5th level spell, you can turn rock into mud. Choose an area of non magical stone that you can see that fits within a 40-foot cube within 120 ft, and turn it into an equal volume of thick and flowing mud. If you cast the spell on an area of ground, it becomes muddy enough that creatures can sink into it. Each foot that a creature moves through the mud costs 4 feet of movement, and any creature on the ground when you cast the spell must make a Strength saving throw. A creature must also make this save the first time it enters the area on a turn or ends its turn there. On a failed save, a creature sinks into the mud and is restrained, though it can use an action to end the restrained condition on itself by pulling itself free of the mud. If you cast the spell on a ceiling, the mud falls. Any creature under the mud when it falls must make a Dexterity saving throw. A creature takes 4d8 bludgeoning damage on a failed save, or half as much damage on a successful one.<br>&nbsp; ♦ By casting the spell as a 5th level spell, you can also turn mud into rock. Choose an area of non magical mud or quicksand that you can see that fits within a 40-foot cube within 120 ft, and turn it into soft stone. Any creature in the mud when it transforms must make a Dexterity saving throw. On a failed save, a creature becomes restrained by the rock. The restrained creature can use an action to try to break free by succeeding on a Strength check (DC 20) or by dealing 25 damage to the rock around it. On a successful save, a creature is shunted safely to the surface to an unoccupied space.<br>&nbsp; ♦ By casting the spell as a 7th level spell, you can disintegrate stone. You touch a Large or smaller stone object, or section of stone made primarily of stone, such as a stone wall, which  crumbles into dust. If cast on a creature made from stone, the creature may make a Constitution saving throw, suffering 15d10 force damage on a failed saving throw, or half as much damage on a successful one."
Stoneskin,4,Abjuration,"Protection, Damage",1 target,Action,Yes,No,1 hour,Touch,"V, S, M (diamond dust worth 100 gp, which the spell consumes)",No,,PHB,No,"Protection,Strength,War,Dwarven rune","Yes,Land - Mountain,Land - Underdark","Ancients,Bastion,Guardian,Conquest,Redemption,Supremacy",Yes,"Relicker,Stone","Cosmic Machine,Eternal Citadel",Yes,No,"Cook,Smith",Yes,Oread,"This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage."
Storm of Vengeance,9,Conjuration,"Damage, Lightning",Radius 360 ft,Action,Yes,No,1 minute,sight,"V,S",No,,PHB,No,"Ocean,Tempest,Vengeance",Yes,No,No,Storm,"Keeper of Depths,Pharaoh,Storm Lord",No,No,No,No,Nereid,"A churning storm cloud forms, centered on a point you can see and spreading to a radius of 360 feet. Lightning flashes in the area, thunder booms, and strong winds roar. Each creature under the cloud (no more than 5,000 feet beneath the cloud) when it appears must make a Constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 5 minutes.<br>&nbsp; Each round you maintain concentration on this spell, the storm produces additional effects on your turn.<br><br>&nbsp; <b>Round 2. </b>Acidic rain falls from the cloud. Each creature and object under the cloud takes 1d6 acid damage.<br>&nbsp; <b>Round 3. </b>You call six bolts of lightning from the cloud to strike six creatures or objects of your choice beneath the cloud. A given creature or object can’t be struck by more than one bolt. A struck creature must make a Dexterity saving throw. The creature takes 10d6 lightning damage on a failed save, or half as much damage on a successful one.<br>&nbsp; <b>Round 4. </b>Hailstones rain down from the cloud. Each creature under the cloud takes 2d6 bludgeoning damage.<br>&nbsp; <b>Round 5-10. </b>Gusts and freezing rain assail the area under the cloud. The area becomes difficult terrain and is heavily obscured. Each creature there takes 1d6 cold damage. Ranged weapon attacks in the area are impossible. The wind and rain count as a severe distraction for the purposes of maintaining concentration on spells. Finally, gusts of strong wind (ranging from 20 to 50 miles per hour) automatically disperse fog, mists, and similar phenomena in the area, whether mundane or magical."
Storm Sphere,4,Evocation,"Attack, Lightning",20 ft radius sphere,Action,Yes,No,1 minute,150 ft,"V,S",Yes,,El. Evil,No,Tempest,Storms,No,No,Storm,Storm Lord,Yes,No,No,No,No,"A 20-foot-radius sphere of whirling air springs into existence centered on a point you choose within range. The sphere remains for the spell’s duration. Each creature in the sphere when it appears or that ends its turn there must succeed on a Strength saving throw or take 2d6 bludgeoning damage. The sphere’s space is difficult terrain.<br>&nbsp; Until the spell ends, you can use a bonus action on each of your turns to cause a bolt of lightning to leap from the center of the sphere toward one creature you choose within 60 feet of the center. Make a ranged spell attack. You have advantage on the attack roll if the target is in the sphere. On a hit, the target takes 4d6 lightning damage.<br>&nbsp; Creatures within 30 feet of the sphere have disadvantage on Wisdom (Perception) checks made to listen.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 5th level or higher, the damage increases for each of its effects by 1d6 for each slot level above 4th."
Stumble,1,Enchantment,Debuff,One creature,Action,Yes,No,1 minute,60 ft,"V, S",No,,"New,2019-08-25",Yes,Trickery,No,No,No,"Aberrant,Frozen heart,Oozemaster,Star touched,Stone,Time thief,Wild",No,No,No,No,No,Yes,"You curse a creature. For the duration, if the target moves, more than 5 feet on their turn, you can use your reaction to force them succeed a Dexterity saving throw or fall prone and lose the rest of their movement. Creatures using a flying or swimming speed for their movement are immune to this spell’s effects."
Suggestion,2,Enchantment,Charm,1 creature,Action,Yes,No,8 hours,30 ft,"V, M (a snake’s tongue and either a bit of honeycomb or a drop of sweet oil)",No,,PHB,"Beguiler,Desire,Marionettist","Charm,Leadership,Order",No,Revenant,No,Yes,"Ancient Toad,Archfey,Crone,Hesperia,Pharaoh,Seducer,Storm Lord,Vampire,Weaver of Lies",Yes,"Barbarian - Fey Bloodrager,Barbarian - Infernal Bloodrager","Diplomat,Psychologist",Sealed dragon,Yes,"You suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. Creatures that can’t be charmed are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act ends the spell.<br>&nbsp; The target must make a Wisdom saving throw. On a failed save, it pursues the course of action you described to the best of its ability. The suggested course of action can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do.<br>&nbsp; You can also specify conditions that will trigger a special activity during the duration. For example, you might suggest that a knight give her warhorse to the first beggar she meets. If the condition isn’t met before the spell expires, the activity isn’t performed.<br>&nbsp; If you or any of your companions damage the target, the spell ends."
Summon Greater Demon,4,Conjuration,"Summon, Fiend",In range,Action,Yes,No,1 hour,60 ft,"V, S, M (a vial of blood from a humanoid killed within the past 24 hours) ",Yes,,Xanathar,"Awakened art,Baator,Tales",Vengeance,No,No,No,Fiendish,"Abraxas,Dagon,Dispater,Fiend,Jubilex,Levistus",Yes,No,No,Demonic,No,"You utter foul words, summoning one demon from the chaos of the Abyss. You choose the demon’s type, which must be one of challenge rating 5 or lower, such as a shadow demon or a barlgura. The demon appears in an unoccupied space you can see within range, and the demon disappears when it drops to 0 hit points or when the spell ends.<br>Roll initiative for the demon, which has its own turns. When you summon it and on each of your turns thereafter, you can issue a verbal command to it (requiring no action on your part), telling it what it must do on its next turn. If you issue no command, it spends its turn attacking any creature within reach that has attacked it.<br>At the end of each of the demon’s turns, it makes a Charisma saving throw. The demon has disadvantage on this saving throw if you say its true name. On a failed save, the demon continues to obey you. On a successful save, your control of the demon ends for the rest of the duration, and the demon spends its turns pursuing and attacking the nearest non-demons to the best of its ability. If you stop concentrating on the spell before it reaches its full duration, an uncontrolled demon doesn’t disappear for 1d6 rounds if it still has hit points.<br>As part of casting the spell, you can form a circle on the ground with the blood used as a material component. The circle is large enough to encompass your space. While the spell lasts, the summoned demon can’t cross the circle or harm it, and it can’t target anyone within it. Using the material component in this manner consumes it when the spell ends.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 5th level or higher, the challenge rating increases by 1 for each slot level above 4th. "
Summon Ice,2,Conjuration,"Creation, Cold",In range,Action,No,No,Instantaneous,5 ft,"V, S",Yes,,New,No,Winter,"Yes,Land - Arctic",No,No,Frozen heart,No,Yes,No,Cook,No,No,"Condensation rolls of your tongue as you summon ice from the deepest regions of the icy wastes. This ice appears on an unoccupied surface within range and can be in any shape you wish, as long as it fits into a 5 foot. There is nothing magical about this ice and it melts like another mass of solid water.<p><b>Empowered casting:</b><br>The dimension of the ice increases by 5 feet for every spell level above 2nd.<br>&nbsp; ♦ If you spend an additional spell slot you, can make the ice eternal. That ice will not melt until the magic is dispelled or the ice is destroyed. If broken, the magic remains with the largest remaining piece. Note that this does not keep the temperature of the ice cold."
Summon Insect,0,Conjuration,"Summon, Beast",In range,Action,No,No,Instantaneous,30 ft,"V, S",Yes,,"New,2020-06-07",Awakened art,"Desert,Nature","Yes,Land - Desert,Land - Swamp,Swarm",No,No,"Arachnid,Fiendish,Plaguebringer,Wishcrafter","Ancient Toad,Crone,Hive,Pharaoh",Yes,No,No,No,Yes,"You summon normal insects under your control, a single insect or a full swarm. A single insect is not very useful, but can be used as spell components for some spells (ex. for the <i>Giant insect</i> spell)  or for a minor distraction, like giving a -1d4 penalty to a creature’s perception check.<br>A swarm is more useful and gives you the following options:<p>&nbsp; ♦ A swarm of flying, stinging insects appear. They can attack and distract a creature within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d4 piercing damage and suffers disadvantage on its next attack or check before your next turn. <br>The spell’s damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).<p>&nbsp; ♦ A swarm of fireflies appear from out of the palm of your hand and fly towards a source you direct them to within 30 ft. Wherever they fly to, the area lights up in a 10 ft radius. The fireflies can be moved around as a bonus action and they remain for up to 10 minutes.<p>&nbsp; ♦ For a few seconds you can summon multiple swarms. However, the sheer amount of insects limits the range to Self, and the swarms will dissipate at the end of your next round. During their existence they will heavily obscure a 5 ft diameter around you.<p><b>Continuous effect</b><br>If you know this cantrip, you are very accustomed to this spell, gaining the following benefits:<br>&nbsp; ♦ If you can cast level 1 spells, you may add the <i> Insect swarm</i> spell to your spells known."
Summon Lesser Demons,3,Conjuration,"Summon, Fiend",In range,Action,Yes,Yes,1 hour,60 ft,"V, S, M (a vial of blood from an intelligent humanoid killed within the past 24 hours)",Yes,,Xanathar,"Awakened art,Tales",No,No,No,No,Fiendish,"Abraxas,Dagon,Dispater,Fiend,Jubilex,Levistus",Yes,No,No,Demonic,No,"You utter foul words, summoning demons from the chaos of the Abyss. Roll on the following table to determine what appears.<table><tr><td><b>d6</b></td><td><b>Demons Summoned</b><tr><td>1–2</td><td>Two demons of challenge rating 1 or lower</td></tr><tr><td>3–4</td><td>Four demons of challenge rating 1/2 or lower</td></tr><tr><td>5–6</td><td>Eight demons of challenge rating 1/4 or lower</td></tr></table>The DM chooses the demons, such as manes or dretches, and you choose the unoccupied spaces you can see within range where they appear. A summoned demon disappears when it drops to 0 hit points or when the spell ends.<br>The demons are hostile to all creatures, including you. Roll initiative for the summoned demons as a group, which has its own turns. The demons pursue and attack the nearest non-demons to the best of their ability.<br>As part of casting the spell, you can form a circle on the ground with the blood used as a material component. The circle is large enough to encompass your space. While the spell lasts, the summoned demons can’t cross the circle or harm it, and they can’t target anyone within it. Using the material component in this manner consumes it when the spell ends.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 6th or 7th level, you summon twice as many demons. If you cast it using a spell slot of 8th or 9th level, you summon three times as many demons. "
Summon Undead,3,Necromancy,"Summon, Undead",In range,Action,Yes,No,1 hour,90 ft,"V, S, F (a gilded skull worth at least 300 gp)",Yes,,"New,2021-05-14",No,Death,No,No,No,"Dread,Ethereal","Death,Fiend,Ghost,Undying",Yes,No,No,No,No,"You call forth an undead spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Undead Spirit stat block. When you cast the spell, choose the creature's form: Ghostly, Putrid, or Skeletal. The spirit resembles an undead creature with the chosen form, which determines certain traits in its stat block. The creature disappears when it drops to 0 hit points or when the spell ends.<br>The creature is an ally to you and your companions. In combat, the creature shares your initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its move to avoid danger.<br>&nbsp; <b>At Higher Levels. </b> When you cast this spell using a spell slot of 4th level or higher, use the higher level wherever the spell's level appears in the stat block.<h4>UNDEAD SPIRIT</h4>Medium undead<br><strong>Armor Class:</strong> 11 + the level of the spell<br><strong>Hit Points:</strong> 30 (Ghostly and Putrid only) or 20 (Skeletal only) + 10 for each spell level above 3rd<br><strong>Speed:</strong> 30 ft.; fly 40 ft. (hover) (Ghostly only)<br><table><tr><td>STR </td><td>12 (+1)</td></tr><tr><td>DEX</td><td>16 (+3)</td></tr><tr><td>CON</td><td>15(+2)</td></tr><tr><td>INT</td><td>4 (-3)</td></tr><tr><td>WIS</td><td>10 (+0)</td></tr><tr><td>CHA</td><td>9 (-1)</td></tr></table><strong>Damage Immunities:</strong>  Necrotic, poison<br><strong>Condition Immunities:</strong> Exhaustion, frightened, paralyzed, poisoned<br><strong>Senses:</strong> Darkvision 60 ft.<br><strong>Languages:</strong>  Understands the languages you speak<br><p><strong>Festering Aura (Putrid Only).</strong> Any creature, other than you, that starts its turn within 5 feet of the spirit must succeed on a Constitution saving throw against your spell save DC or be poisoned until the start of its next turn.<br><strong>Incorporeal Passage (Ghostly Only).</strong> The spirit can move through other creatures and objects as if they were difficult terrain. If it ends its turn inside an object, it is shunted to the nearest unoccupied space and takes 1d10 force damage for every 5 feet traveled.<p><strong>ACTIONS</strong><br><strong>Multiattack.</strong> The spirit makes a number of attacks equal to half this spell's level (rounded down).<br><strong>Deathly Touch (Ghostly Only).</strong> Melee Attack: your spell attack modifier to hit. Hit: 1d8 + 3 + the spell's level necrotic damage, and the creature must succeed on a Wisdom saving throw against your spell save DC or be frightened of the undead until the end of the target's next turn.<br><strong>Grave Bolt (Skeletal Only).</strong> Ranged Spell Attack: your spell attack modifier to hit, range 150 ft. Hit: 2d4 + 3 + the spell's level necrotic damage.<br><strong>Rotting Claw (Putrid Only).</strong> Melee Attack: your spell attack modifier to hit. Hit: 1d6 + 3 + the spell's level slashing damage. If the target is poisoned, it must succeed on a Constitution saving throw against your spell save DC or be paralyzed until the end of its next turn.<br>"
Sunbeam,6,Evocation,"Damage, Radiant",Line 60 ft,Action,Yes,No,1 minute,60 ft,"V, S, M (a magnifying glass)",No,,PHB,No,"Agriculture,Desert,Light,Balanced scale of Abadar",Yes,No,No,"Divine soul,Dune child,Phoenix,Relicker,Star touched",Fallen Exile,Yes,No,Candlemaker,No,Yes,"A beam of brilliant light flashes out from your hand in a 5-foot-wide, 60-foot-long line. Each creature in the line must make a Constitution saving throw. On a failed save, a creature takes 6d8 radiant damage and is blinded until your next turn. On a successful save, it takes half as much damage and isn’t blinded by this spell. Undead and oozes have disadvantage on this saving throw.<br>&nbsp; You can create a new line of radiance as your action on any turn until the spell ends.<br>&nbsp; For the duration, a mote of brilliant radiance shines in your hand. It sheds bright light in a 30-foot radius and dim light for an additional 30 feet. This light is sunlight."
Sunburst,8,Evocation,"Damage, Radiant",Radius 60 ft,Action,No,No,Instantaneous,150 ft,"V, S, M (fire and a piece of sunstone)",No,,PHB,No,Light,Yes,No,No,"Dune child,Phoenix,Star touched,Wild",Fallen Exile,Yes,No,No,No,No,"Brilliant sunlight flashes in a 60-foot radius centered on a point you choose within range. Each creature in that light must make a Constitution saving throw. On a failed save, a creature takes 12d6 radiant damage and is blinded for 1 minute. On a successful save, it takes half as much damage and isn’t blinded by this spell. Undead and oozes have disadvantage on this saving throw. A creature blinded by this spell makes another Constitution saving throw at the end of each of its turns. On a successful save, it is no longer blinded.<br>&nbsp; This spell dispels any darkness in its area that was created by a spell."
Suppress Pain,1,Enchantment,Healing,1 target,Action,No,No,Instantaneous,Touch,"V,S",Yes,"You dull the pain of a creature’s wounds and help it tolerate further punishment. The creature regains 1d6 hit points and also gains temporary hit points equal to your spellcasting ability modifier. This spell has no effect on undead or constructs. When cast using a spell slot of 2nd level or higher, the healing increases by 1d6 and the number of temporary hit points increase by 1 for each slot level above 1st.","New,2016-05-10",No,"Yes,Balance,Life,Strength",Yes,Yes,No,"Plaguebringer,Wishcrafter",Weaver of Lies,No,No,Diplomat,Yes,No,"You dull the pain of a creature’s wounds and help it tolerate further punishment. The creature regains 1d6 hit points and also gains temporary hit points equal to your spellcasting ability modifier. This spell has no effect on undead or constructs.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d6 and the number of temporary hit points increase by 1 for each slot level above 1st."
Surge Dampener,3,Abjuration,"Protection, Chaos",One creature,Action,Yes,Yes,1 minute,Touch,"V, S",No,,"New,2018-01-07",Entropy,"Arcana,Chaos,Order,Protection",No,No,No,"Incantatrix,Stone,Time thief,Wild,Wishcrafter","Dagon,Fiend,Jubilex,Shadowcat",Yes,No,No,Entropic,Pooka,"Using your strength of will, you cause one creature other than yourself that you touch to become so firmly entrenched within reality that it is protected from the effects of chaos magic surges. The protected creature gains a saving throw to negate the effect of a chaos magic surge that does not normally allow a saving throw, or it gets advantage on a normally allowed saving throw. Once the protected creature makes a successful saving throw allowed by surge dampener, the spell’s effect ends for that creature."
Swarmshape,3,Transmutation,Change,One creature,Action,Yes,No,1 hour,Touch,"V, S, M (a dead or alive insect)",No,,"New,2020-06-21",No,No,Swarm,No,No,"Fiendish,Plaguebringer,Wild","Hive,Jubilex",Yes,No,No,No,No,"You transform a willing creature you touch, along with everything it’s wearing and carrying, into a swarm of flying insects for the duration. The spell ends if the creature drops to 0 hit points. An incorporeal creature isn’t affected. While in this form, the target’s only method of movement is a flying speed of 10 feet. The target can enter and occupy the space of another creature. The target has resistance to nonmagical damage, and it has advantage on Strength, Dexterity, and Constitution saving throws. The target can pass through small holes, narrow openings, and even mere cracks, though it treats liquids as though they were solid surfaces. The target can't fall and remains hovering in the air even when stunned or otherwise incapacitated.<br>&nbsp; While in the form of a swarm, the target can’t talk or manipulate objects, and any objects it was carrying or holding can’t be dropped, used, or otherwise interacted with. The target can’t attack or cast spells."
Swift Quiver,5,Transmutation,"Buff, Weapon",Self,Bonus action,Yes,No,1 minute,Self,"V, S, M (a quiver containing at least one piece of ammunition)",No,,PHB,Desire,Hunting,No,No,Yes,No,No,No,No,Smith,No,No,"You transmute your quiver so it produces an endless supply of nonmagical ammunition, which seems to leap into your hand when you reach for it.<br>&nbsp; On each of your turns until the spell ends, you can use a bonus action to make two attacks with a weapon that uses ammunition from the quiver. Each time you make such a ranged attack, your quiver magically replaces the piece of ammunition you used with a similar piece of nonmagical ammunition. Any pieces of ammunition created by this spell disintegrate when the spell ends. If the quiver leaves your possession, the spell ends."
Sylvan Vision,1,Divination,Sense,Self,Action,Yes,No,10 minutes,Self,"V, M (a fresh sprig of local flora, which the spell consumes)",No,,"New,2019-08-25",No,Hunting,yes,No,Yes,"Ashen,Autumnal,Blighted","Ancient Toad,Blackthorn Grove",No,No,Forester,No,"Yes,Sprig","For the duration, nonmagical foliage does not obscure your vision."
Symbol,7,Abjuration,Guarding,One object,1 minute,No,No,permanent,Touch,"V, S, M (mercury, phosphorus, and powdered diamond and opal with a total value of at least 1,000 gp, which the spell consumes)",No,,PHB,"Awakened art,Calligraphy,Secrets","Agriculture,Arcana,Knowledge,Survival,Vengeance,Dwarven rune",No,No,No,"Aberrant,Divine soul,Relicker,Wishcrafter",No,Yes,No,Cook,No,No,"When you cast this spell, you inscribe a harmful glyph either on a surface (such as a section of floor, a wall, or a table) or within an object that can be closed to conceal the glyph (such as a book, a scroll, or a treasure chest). If you choose a surface, the glyph can cover an area of the surface no larger than 10 feet in diameter. If you choose an object, that object must remain in its place; if the object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.<br>&nbsp; The glyph is nearly invisible, requiring an Intelligence (Investigation) check against your spell save DC to find it.<br>&nbsp; You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, the most typical triggers include touching or stepping on the glyph, removing another object covering it, approaching within a certain distance of it, or manipulating the object that holds it. For glyphs inscribed within an object, the most common triggers are opening the object, approaching within a certain distance of it, or seeing or reading the glyph.<br>&nbsp; You can further refine the trigger so the spell is activated only under certain circumstances or according to a creature’s physical characteristics (such as height or weight), or physical kind (for example, the ward could be set to affect hags or shapechangers). You can also specify creatures that don’t trigger the glyph, such as those who say a certain password.<br>&nbsp; When you inscribe the glyph, choose one of the options below for its effect. Once triggered, the glyph glows, filling a 60-foot-radius sphere with dim light for 10 minutes, after which time the spell ends. Each creature in the sphere when the glyph activates is targeted by its effect, as is a creature that enters the sphere for the first time on a turn or ends its turn there.<br>&nbsp; <b>Death. </b>Each target must make a Constitution saving throw, taking 10d10 necrotic damage on a failed save, or half as much damage on a successful save.<br>&nbsp; <b>Discord. </b>Each target must make a Constitution saving throw. On a failed save, a target bickers and argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has disadvantage on attack rolls and ability checks.<br>&nbsp; <b>Fear. </b>Each target must make a Wisdom saving throw and becomes frightened for 1 minute on a failed save. While frightened, the target drops whatever it is holding and must move at least 30 feet away from the glyph on each of its turns, if able.<br>&nbsp; <b>Hopelessness.</b> Each target must make a Charisma saving throw. On a failed save, the target is overwhelmed with despair for 1 minute. During this time, it can’t attack or target any creature with harmful abilities, spells, or other magical effects.<br>&nbsp; <b>Insanity. </b>Each target must make an Intelligence saving throw. On a failed save, the target is driven insane for 1 minute. An insane creature can’t take actions, can't understand what other creatures say, can’t read, and speaks only in gibberish. The DM controls its movement, which is erratic.<br>&nbsp; <b>Pain. </b>Each target must make a Constitution saving throw and becomes incapacitated with excruciating pain for 1 minute on a failed save.<br>&nbsp; <b>Sleep. </b>Each target must make a Wisdom saving throw and falls unconscious for 10 minutes on a failed save. A creature awakens if it takes damage or if someone uses an action to shake or slap it awake.<br>&nbsp; <b>Stunning.</b> Each target must make a Wisdom saving throw and becomes stunned for 1 minute on a failed save."
Synaptic Static,5,Enchantment,"Damage, Psychic",Radius 20 ft,Action,No,No,Instantaneous,120 ft,"V, S",No,,Xanathar,Mad god,"Chaos,Illusion",No,No,No,"Aberrant,Pandemonic",Abraxas,Yes,No,No,Entropic,Yes,"You choose a point within range and cause psychic energy to explode there. Each creature in a 20-foot-radius sphere centered on that point must make an Intelligence saving throw. A creature with an Intelligence score of 2 or lower can’t be affected by this spell. A target takes 8d6 psychic damage on a failed save, or half as much damage on a successful one.<br>After a failed save, a target has muddled thoughts for 1 minute. During that time, it rolls a d6 and subtracts the number rolled from all its attack rolls and ability checks, as well as its Constitution saving throws to maintain concentration. The target can make an Intelligence saving throw at the end of each of its turns, ending the effect on itself on a success. "
Tailor's Boon,0,Transmutation,Utility,One set of mundane clothing,1 minute,No,No,Instantaneous,Touch,"V, S",Yes,,"New,2018-10-18",Yes,"Celebration,Leadership",No,No,No,No,No,Yes,No,No,Yes,No,"With this spell you can manipulate one set of clothing or one textile object, like a curtain. It can also affect leather clothing or armor. Clothing worn by an unwilling creature can not be affected. When casting this spell select any one of the following effects:<br>&nbsp; ♦ Target clothing is instantly cleaned and sanitized. If you add some soap, flower petals or scented oils as a material component, you can leave behind their smell.<br>&nbsp; ♦ You can make the clothing to be as brand new, or really worn.<br>&nbsp; ♦ Change color and patterns of clothing.<br>&nbsp; ♦ Repairs a single tear in clothing. You can either leave no trace of the former damage, or replace it with a patch.<br>&nbsp; ♦ Resize one outfit to fit you or another creature within 30 ft. When the wearer removes the outfit, it reverts to its normal size.<p><b>Continuous effect</b><br>If you know this cantrip, you are very accustomed to this spell, gaining the following benefits:<br>&nbsp; ♦ If you can cast level 2 spells, you may add the <i> Deep pockets</i> spell to your spells known.<br>&nbsp; ♦ You gain proficiency with tailor’s tools. If you already have proficiency, you gain expertise instead."
